feature,nonorm,byspeaker,feature-latex,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef,cat
H1A1c_mean,0,0,H1* -- A1*\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A1c_means001,0,0,H1* -- A1*\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A1c_means002,0,0,H1* -- A1*\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A1c_means003,0,0,H1* -- A1*\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A2c_mean,0,0,H1* -- A2*\_Mean ,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A2c_means001,0,0,H1* -- A2*\_1 ,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A2c_means002,0,0,H1* -- A2*\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A2c_means003,0,0,H1* -- A2*\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A3c_mean,0,0,H1* -- A3*\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A3c_means001,0,0,H1* -- A3*\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A3c_means002,0,0,H1* -- A3*\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1A3c_means003,0,0,H1* -- A3*\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1H2c_mean,0,0,H1* -- H2*\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1H2c_means001,0,0,H1* -- H2*\_1,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1H2c_means002,0,0,H1* -- H2*\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H1H2c_means003,0,0,H1* -- H2*\_3,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H2H4c_mean,0,0,H2* -- H4*\_Mean,1,0,1,0,1,0,1,0,1,0,1,2.967,0
H2H4c_means001,0,0,H2* -- H4*\_1,1,0.028,1,0.038,1,0,1,0,1,0,1,2.967,0
H2H4c_means002,0,0,H2* -- H4*\_2,1,0,1,0,1,0,1,0,1,0,1,2.967,0
