feature,feature-latex,category,nonorm,byspeaker,eng,eng-udef,guj,guj-udef,hmn,hmn-udef,cmn,cmn-udef,maj,maj-udef,zap,zap-udef
H1H2c_mean,H1* -- H2*\_Mean,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1H2c_means001,H1* -- H2*\_1,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1H2c_means002,H1* -- H2*\_2,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1H2c_means003,H1* -- H2*\_3,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2H4c_mean,H2* -- H4*\_Mean,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2H4c_means001,H2* -- H4*\_1,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2H4c_means002,H2* -- H4*\_2,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2H4c_means003,H2* -- H4*\_3,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A1c_mean,H1* -- A1*\_Mean,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A1c_means001,H1* -- A1*\_1,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A1c_means002,H1* -- A1*\_2,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A1c_means003,H1* -- A1*\_3,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A2c_mean,H1* -- A2*\_Mean ,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A2c_means001,H1* -- A2*\_1 ,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A2c_means002,H1* -- A2*\_2,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A2c_means003,H1* -- A2*\_3,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A3c_mean,H1* -- A3*\_Mean,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A3c_means001,H1* -- A3*\_1,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A3c_means002,H1* -- A3*\_2,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H1A3c_means003,H1* -- A3*\_3,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H42Kc_mean,H4* -- 2k*\_Mean,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H42Kc_means001,H4* -- 2k*\_1,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H42Kc_means002,H4* -- 2k*\_2,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H42Kc_means003,H4* -- 2k*\_3,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2KH5Kc_mean,2k* -- 5k\_Mean,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2KH5Kc_means001,2k* -- 5k\_1,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2KH5Kc_means002,2k* -- 5k\_2,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
H2KH5Kc_means003,2k* -- 5k\_3,0,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
CPP_mean,CPP\_Mean,1,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
CPP_means001,CPP\_1,1,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
CPP_means002,CPP\_2,1,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
CPP_means003,CPP\_3,1,0,0,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
Energy_mean,RMS\_Energy\_Mean,2,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
Energy_means001,RMS\_Energy\_1,2,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
Energy_means002,RMS\_Energy\_2,2,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
Energy_means003,RMS\_Energy\_3,2,0,1,1,0,1,0,1,0,1,0,1,0,1,3.197674419
HNR05_mean,HNR05\_Mean,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR05_means001,HNR05\_1,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR05_means002,HNR05\_2,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR05_means003,HNR05\_3,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR15_mean,HNR15\_Mean,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR15_means001,HNR15\_1,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR15_means002,HNR15\_2,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR15_means003,HNR15\_3,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR25_mean,HNR25\_Mean,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR25_means001,HNR25\_1,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR25_means002,HNR25\_2,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR25_means003,HNR25\_3,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR35_mean,HNR35\_Mean,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR35_means001,HNR35\_1,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR35_means002,HNR35\_2,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
HNR35_means003,HNR35\_3,3,0,1,1,0,1,0,1,0.0368053,1,0,1,0,1,3.197674419
SHR_mean,SHR\_Mean,4,0,0,1,0,1,0,1,0,1,0,1,0,1,2.325581395
SHR_means001,SHR\_1,4,0,0,1,0,1,0,1,0,1,0,1,0,1,2.325581395
