Vowel,t_ms,strF0,sF0,pF0,shrF0
C,1,86.238,0,0,0
C,2,86.238,0,0,0
C,3,86.238,0,0,0
C,4,86.238,0,0,0
C,5,86.259,0,0,0
C,6,86.327,0,0,0
C,7,86.378,0,0,0
C,8,86.423,0,0,0
C,9,86.471,0,0,0
C,10,86.451,0,0,0
C,11,86.46,0,0,0
C,12,86.438,0,0,0
C,13,86.359,0,0,0
C,14,86.146,0,0,86.565
C,15,85.802,0,0,86.565
C,16,85.399,0,0,86.565
C,17,84.918,0,0,86.565
C,18,84.393,80.323,0,86.565
C,19,83.907,80.627,0,86.565
C,20,83.37,80.638,0,86.565
C,21,82.856,80.657,0,81.289
C,22,82.395,80.693,0,81.289
C,23,82.038,80.723,0,81.289
C,24,81.755,80.727,0,81.289
C,25,81.529,80.727,81.146,81.289
C,26,81.354,80.727,81.146,81.289
C,27,81.192,80.725,81.149,81.289
C,28,81.03,80.72,81.151,81.289
C,29,80.857,80.723,81.152,81.289
C,30,80.673,80.633,81.148,81.289
C,31,80.479,79.633,80.526,81.289
C,32,80.283,79.46,80.643,81.289
C,33,80.094,79.405,80.621,81.289
C,34,79.919,79.399,80.653,79.269
C,35,79.777,79.389,80.696,79.269
C,36,79.661,79.377,80.723,79.269
C,37,79.569,79.374,80.728,79.269
C,38,79.507,79.372,80.732,79.269
C,39,79.46,79.372,80.73,79.269
C,40,79.422,79.382,80.728,79.269
C,41,79.387,79.367,80.729,79.269
C,42,79.353,79.433,80.726,79.269
C,43,79.316,79.421,80.682,79.269
C,44,79.277,79.388,79.636,79.269
C,45,79.238,79.402,79.461,79.269
C,46,79.203,79.402,79.407,79.269
C,47,79.186,79.402,79.397,79.269
C,48,79.189,79.4,79.396,79.269
C,49,79.221,79.4,79.376,79.269
C,50,79.317,79.4,79.373,79.269
C,51,79.474,79.4,79.371,79.269
C,52,79.699,79.4,79.371,79.269
C,53,80.026,0,79.378,79.269
C,54,80.414,0,79.366,79.269
C,55,80.846,0,79.403,79.269
C,56,81.303,0,79.515,79.269
C,57,81.759,0,79.395,80.273
C,58,82.207,0,79.34,83.36
C,59,82.637,0,79.349,83.36
C,60,83.054,0,79.344,83.36
C,61,83.469,0,79.309,83.36
C,62,83.945,0,79.308,83.36
C,63,84.469,0,79.3,83.36
C,64,85.072,0,79.303,83.36
C,65,85.738,0,79.299,83.36
C,66,86.534,0,79.521,83.36
C,67,87.687,0,0,83.36
C,68,88.82,0,0,83.36
C,69,89.921,0,0,83.36
C,70,90.98,0,0,94.533
C,71,91.938,0,0,94.533
C,72,92.861,0,0,94.533
C,73,93.768,0,0,94.533
C,74,94.789,0,0,94.533
C,75,95.825,0,0,94.533
C,76,96.61,0,0,94.533
C,77,97.465,0,0,94.533
C,78,98.327,0,0,95.73
C,79,99.174,0,0,94.533
C,80,99.999,0,0,101.944
C,81,100.974,0,0,101.944
C,82,102.01,0,0,101.944
C,83,102.921,0,0,101.944
C,84,103.834,0,0,101.944
C,85,104.828,0,0,101.944
C,86,105.883,0,0,101.944
C,87,107.117,0,0,101.944
C,88,108.426,0,0,101.944
C,89,109.746,0,0,101.944
C,90,110.891,0,0,112.737
C,91,111.843,0,0,112.737
C,92,112.686,0,0,112.737
C,93,113.337,0,0,112.737
C,94,113.743,0,0,112.737
C,95,113.999,0,0,112.737
C,96,114.059,0,0,112.737
C,97,114.038,0,0,112.737
C,98,113.971,0,0,219.583
C,99,113.908,0,0,198.562
C,100,113.901,0,0,196.08
C,101,113.935,0,0,196.08
C,102,114.028,0,0,196.08
C,103,114.176,0,0,196.08
C,104,114.331,0,0,198.562
C,105,114.489,0,0,214.128
C,106,114.637,0,0,111.328
C,107,114.786,0,0,111.328
C,108,114.885,0,0,111.328
C,109,114.952,0,0,111.328
C,110,114.995,0,0,111.328
C,111,115.01,0,0,111.328
C,112,115.012,0,0,111.328
C,113,115.005,0,0,93.352
C,114,114.996,0,0,93.352
C,115,114.996,0,0,93.352
C,116,114.996,0,0,93.352
C,117,114.996,0,0,93.352
C,118,114.996,0,0,93.352
C,119,114.996,0,0,93.352
C,120,114.996,0,0,93.352
C,121,114.996,0,0,93.352
C,122,114.996,0,0,93.352
C,123,114.996,0,0,93.352
C,124,114.996,0,0,93.352
C,125,114.996,0,0,72.588
C,126,114.996,0,0,72.588
C,127,114.996,0,0,72.588
C,128,114.996,0,0,72.588
C,129,114.996,0,0,72.588
C,130,114.996,0,0,72.588
C,131,114.996,0,0,0
C,132,114.996,0,0,0
C,133,114.996,0,0,0
C,134,114.996,0,0,0
C,135,114.996,0,0,0
C,136,114.996,0,0,0
C,137,114.996,0,0,0
C,138,114.996,0,0,0
C,139,114.996,0,0,0
C,140,114.996,0,0,0
