Vowel,t_ms,strF0,sF0,pF0,shrF0
M,1,172.672,0,0,0
M,2,173.376,0,0,0
M,3,174.169,0,0,0
M,4,174.975,0,0,0
M,5,175.744,0,0,0
M,6,176.419,0,0,0
M,7,176.864,0,0,0
M,8,177.053,0,0,0
M,9,176.944,0,0,0
M,10,176.731,0,0,0
M,11,176.426,0,0,0
M,12,175.995,0,0,0
M,13,175.513,176.717,0,0
M,14,175.052,176.672,0,177.309
M,15,174.68,176.308,0,177.309
M,16,174.442,175.989,0,175.092
M,17,174.395,175.771,0,175.092
M,18,174.464,175.079,0,175.092
M,19,174.614,174.962,0,175.092
M,20,174.837,174.865,0,175.092
M,21,175.081,175.253,0,175.092
M,22,175.319,175.346,0,175.092
M,23,175.427,175.448,0,175.092
M,24,175.424,175.52,0,175.092
M,25,175.324,175.493,176.71,175.092
M,26,175.098,175.391,176.71,175.092
M,27,174.805,175.186,176.665,175.092
M,28,174.533,175.178,176.527,175.092
M,29,174.416,175.452,175.981,175.092
M,30,174.442,175.533,175.761,175.092
M,31,174.582,175.552,175.085,175.092
M,32,174.881,175.85,174.951,175.092
M,33,175.269,176.076,174.848,175.092
M,34,175.676,176.184,175.219,175.092
M,35,175.985,176.002,175.275,175.092
M,36,176.197,175.913,175.417,175.092
M,37,176.293,175.848,175.52,175.092
M,38,176.18,175.704,175.469,175.092
M,39,175.991,175.681,175.392,175.092
M,40,175.827,175.971,175.183,177.309
M,41,175.807,176.25,175.158,175.092
M,42,175.877,176.393,175.449,175.092
M,43,176.031,176.432,175.519,175.092
M,44,176.283,176.37,175.536,175.092
M,45,176.556,176.348,175.614,177.309
M,46,176.775,176.131,176.075,177.309
M,47,176.889,176.047,176.174,177.309
M,48,176.925,176.004,176.003,177.309
M,49,176.856,175.924,175.911,177.309
M,50,176.642,175.817,175.846,177.309
M,51,176.386,175.835,175.696,177.309
M,52,176.127,176.094,175.679,177.309
M,53,175.917,176.145,175.826,177.309
M,54,175.772,176.183,176.253,177.309
M,55,175.703,176.154,176.395,175.092
M,56,175.719,176.142,176.435,175.092
M,57,175.734,175.953,176.388,175.092
M,58,175.72,175.754,176.35,175.092
M,59,175.67,175.635,176.13,175.092
M,60,175.603,175.578,176.052,175.092
M,61,175.516,175.424,176.003,175.092
M,62,175.447,175.391,175.919,175.092
M,63,175.396,175.412,175.81,175.092
M,64,175.367,175.42,175.825,175.092
M,65,175.371,175.416,176.091,175.092
M,66,175.399,175.405,176.145,175.092
M,67,175.444,175.385,176.183,175.092
M,68,175.479,175.376,176.166,175.092
M,69,175.467,175.273,176.139,175.092
M,70,175.415,175.245,176.063,175.092
M,71,175.314,175.23,175.741,175.092
M,72,175.173,174.964,175.626,175.092
M,73,175.019,174.843,175.58,175.092
M,74,174.872,174.751,175.429,175.092
M,75,174.739,174.657,175.382,175.092
M,76,174.631,174.629,175.404,175.092
M,77,174.579,174.612,175.408,175.092
M,78,174.556,174.514,175.406,175.092
M,79,174.551,174.484,175.404,175.092
M,80,174.495,174.287,175.375,175.092
M,81,174.394,174.18,175.362,175.092
M,82,174.257,174.125,175.262,175.092
M,83,174.09,174.064,175.24,175.092
M,84,173.904,173.664,175.221,175.092
M,85,173.722,173.563,175.173,175.092
M,86,173.544,173.342,174.843,175.092
M,87,173.391,173.289,174.77,172.904
M,88,173.278,173.258,174.665,172.904
M,89,173.243,173.236,174.637,172.904
M,90,173.243,173.267,174.625,172.904
M,91,173.233,173.236,174.525,172.904
M,92,173.12,172.863,174.508,172.904
M,93,172.947,172.761,174.303,172.904
M,94,172.737,172.735,174.201,172.904
M,95,172.493,172.68,174.134,172.904
M,96,172.259,172.505,174.089,172.904
M,97,172.061,172.383,173.7,172.904
M,98,171.937,172.322,173.564,172.904
M,99,171.871,172.262,173.37,172.904
M,100,171.88,0,173.287,172.904
M,101,171.993,0,173.255,172.904
M,102,172.15,0,173.238,172.904
M,103,172.288,0,173.263,172.904
M,104,172.355,0,173.225,172.904
M,105,172.37,0,172.876,172.904
M,106,172.333,0,172.777,172.904
M,107,172.198,0,172.753,172.904
M,108,171.975,0,172.707,172.904
M,109,171.604,0,172.535,172.904
M,110,171.039,0,172.417,170.742
M,111,170.416,0,172.338,170.742
M,112,169.808,0,172.292,170.742
M,113,169.295,0,172.279,170.742
M,114,168.9,0,172.151,168.608
M,115,168.653,0,171.735,168.608
M,116,168.645,0,171.12,168.608
M,117,168.777,0,0,168.608
M,118,169.071,0,0,168.608
M,119,169.55,0,0,168.608
M,120,170.044,0,0,168.608
M,121,170.405,0,0,168.608
M,122,170.5,0,0,168.608
M,123,170.416,0,0,168.608
M,124,170.153,0,0,168.608
M,125,169.718,0,0,168.608
M,126,169.323,0,0,168.608
M,127,169.083,0,0,168.608
M,128,169.106,0,0,168.608
M,129,169.259,0,0,168.608
M,130,169.566,0,0,168.608
M,131,170.122,0,0,0
M,132,170.689,0,0,0
M,133,171.192,0,0,0
M,134,171.508,0,0,0
M,135,171.693,0,0,0
M,136,171.683,0,0,0
M,137,171.428,0,0,0
M,138,171.116,0,0,0
M,139,170.815,0,0,0
M,140,170.516,0,0,0
